Excerpt from http://lter.kbs.msu.edu/datasets/52 with added errors;;;;;
sample_date;state;station;species;sex;count
;;;;;
;;;;;
25.10.13;IA;Nashua;Rhopalosiphum.sp.;male;1
25.10.13;IA;McNay;Rhopalosiphum.padi;F;4
25.10.13;IA;Nashua;Rhopalosiphum.insertum;F;1
25.10.13;IA;McNay;Rhopalosiphum.insertum;F;1
25.10.13;IA;McNay;Anoecia.cornicola;F;2
25.10.13;IA;McNay;Hysteroneura.setariae;F;1
25.10.13;IA;McNay;Dysaphis.plantaginea;F;2
25.10.13;IA;McNay;Nearctaphis.crataegifoliae;F;1
25.10.13;IA;McNay;Hyadaphis.foeniculi;F;1
18.10.13;IA;McNay;Myzus.lythri;F;5
18.10.13;IA;McNay;Dysaphis.plantaginea;F;7
18.10.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;1
18.10.13;IA;McNay;Rhopalosiphum.rufiabdominale;F;1
18.10.13;IA;Ames;Anoecia.cornicola;F;1
18.10.13;IA;McNay;Anoecia.cornicola;F;2
18.10.13;IA;McNay;Anoecia.corni;F;1
18.10.13;IA;Ames;Nearctaphis.bakeri;F;1
18.10.13;IA;McNay;Anoecia.oenotherae;F;1
18.10.13;IA;McNay;Nearctaphis.crataegifoliae;F;3
18.10.13;IA;McNay;Nearctaphis.crataegifoliae;M;1
18.10.13;IA;McNay;Hyadaphis.foeniculi;F;3
18.10.13;IA;Ames;Rhopalosiphum.padi;F;1
18.10.13;IA;McNay;Rhopalosiphum.padi;F;1
18.10.13;IA;McNay;Eriosoma.sp.;F;1
18.10.13;IA;McNay;Colopha.ulmicola;F;2
18.10.13;IA;McNay;Capitophorus.hippophaes;F;1
18.10.13;IA;McNay;Tetraneura.sp.;F;7
18.10.13;IA;Ames;Tetraneura.sp.;F;1
18.10.13;IA;Nashua;Pemphigus.sp.;F;1
18.10.13;IA;McNay;Prociphilus.sp.;F;1
18.10.13;IA;McNay;Pemphigus.sp.;F;14
11.10.13;IA;Ames;Prociphilus.sp.;F;3
11.10.13;IA;Nashua;Prociphilus.sp.;F;10
11.10.13;IA;Ames;Pemphigus.sp.;F;5
11.10.13;IA;Nashua;Pemphigus.sp.;F;36
11.10.13;IA;McNay;Nearctaphis.crataegifoliae;F;1
11.10.13;IA;McNay;Hyadaphis.foeniculi;M;1
11.10.13;IA;Ames;Hyadaphis.foeniculi;F;2
11.10.13;IA;McNay;Hysteroneura.setariae;F;2
11.10.13;IA;Ames;Hysteroneura.setariae;F;2
11.10.13;IA;McNay;Rhopalosiphum.cerasifoliae;F;1
11.10.13;IA;McNay;Nearctaphis.bakeri;F;1
11.10.13;IA;Ames;Rhopalosiphum.padi;F;4
11.10.13;IA;Nashua;Rhopalosiphum.padi;F;5
11.10.13;IA;Nashua;Tetraneura.sp.;F;1
11.10.13;IA;McNay;Rhopalosiphum.padi;F;2
11.10.13;IA;Nashua;Rhopalosiphum.insertum;F;2
11.10.13;IA;Ames;Rhopalosiphum.maidis;F;1
11.10.13;IA;Nashua;Anoecia.corni;F;3
11.10.13;IA;Ames;Anoecia.cornicola;F;3
11.10.13;IA;McNay;Aphis.glycines;F;1
